@relation posture

@attribute tweet String
@attribute class {Anti-Roseanne,Pro-Roseanne,UncNeut}

@data
" realmikepacker Sarah_G_Barker EdKrassen therealroseanne she's racist. period.",Anti-Roseanne
"WOW!! 'Roseanne' canceled after star's tweet about former Obama aide - ABC News https://t.co/h7lto6XSlg (via ABC)",UncNeut
" haagendas shiftywatt andygh26 Milliron681 soonerrick debralynnsmith3 therealroseanne Personal attack? No dea... https://t.co/j9QQa6Txkr",UncNeut
"MSNBC's Joy Reid explains how Trumpism gives Roseanne a 'broad sense of permission' to be racist https://t.co/Jzmii3Cbz2",Anti-Roseanne
"Who would have thought 25 years ago that Tom Arnold would turn out basically ok and Roseanne would be the insane racist nutball",Anti-Roseanne
"WhiteSupremacists",Anti-Roseanne
"Anybody that ever thought twitter WOULDNT be the end of Roseanne's career had obviously never seen a single thing s... https://t.co/5AHttpaeDn",UncNeut
"hopefully roseanne dosent get picked up by any gullible-dull network https://t.co/s5h5tIdEWV",Anti-Roseanne
"american",UncNeut
"Roseanne's Twitter statement is abhorrent, repugnant and inconsistent with our values, and we have decided to canc... https://t.co/FtBEVoSZZr",Anti-Roseanne
" therealroseanne Too late booboo     \u200d",Anti-Roseanne
" therealroseanne Please stay on Twitter. They want you to leave. Don't give in. Whatever you own in Roseanne...take... https://t.co/GKMVNyN6P3",Pro-Roseanne
"Whether it was Imus calling RutgersU women's bball disparaging names, a nypost cartoonist's portrayal of... https://t.co/nrN92AuTBo",UncNeut
" RealAlexJones therealroseanne Your 15 mins are winding down aren't they? I guess your grasping for another 5? Pathetic",Anti-Roseanne
"I'll admit I've given her a pass in the past because she IS such a huge part of my past. I raised my daughter on Ro... https://t.co/s3hIvyaoBn",UncNeut
" SusanHulett Butterflipzy TheRealHublife therealroseanne Somtuen it should apply to Joy Behar's comments about C... https://t.co/A91oGlEnW4",UncNeut
" MZGreenOfficial realPolitiDiva JTMYVA ABC TheView JoyVBehar therealroseanne https://t.co/QXPst1vaBl",UncNeut
" ClayTravis KeithOlbermann realDonaldTrump espn therealroseanne Waiting for you to fire back at some of them lol",UncNeut
"Roseanne got cancelled LMAO",Anti-Roseanne
"i saw people talking about that roseanne barr tweet before i actually saw the tweet and thought 'oh boy more stupid... https://t.co/Wy1MvnLQGZ",Anti-Roseanne
"Why does billmaher have a show HBO? He uses the 'N' word and gets away with because he says he's a comedian? If... https://t.co/3WrYAeXMFi",Pro-Roseanne
" therealroseanne Who gives a $&amp;&amp;&amp;&amp; about liberal abc bring your show to another network and watch Libt&amp;rds squirm... https://t.co/y38lT4ADgj",Pro-Roseanne
"Another step of limiting free speech, as long as it is a liberal doing it it is okay. You should not have backed down therealroseanne",Pro-Roseanne
" therealroseanne You didn't not need to appollogize your a comedian Their goes that damn political correctness cra... https://t.co/swXvwU75Bp",Pro-Roseanne
"BREAKING: ABC Cancels 'Roseanne' Television Show Following Tweet on Valerie Jarrett https://t.co/sCkFf7gkdW via gatewaypundit",UncNeut
"Football &amp; 'TakeAKnee'; BuhBy to Roseanne; Kim Jong Un; and Starbucks ... I'm exhausted https://t.co/useCCkQ4Dx",UncNeut
" nathanlean mehdirhasan There is no inconsistency. Roseanne is white, the players (mostly) and those whose deaths... https://t.co/QHkE8WT2g2",UncNeut
"What about Bill Maher who said 'house n*gger' and other leftist tv personalities who have said racist things &amp; stil... https://t.co/9SWAly7Z2y",Pro-Roseanne
" fiebiePup smugbunny intheMatrixxx starry7678 ChelseaClinton therealroseanne POTUS &amp; that is the issue w this... https://t.co/vFrQQfywqL",UncNeut
"ABC cancels 'Roseanne' after Roseanne Barr compares black Obama aide Jarrett to an ape https://t.co/ZaLHrnKCNl",UncNeut
" therealroseanne I hate to see you go. I think you are funny and right on. Keep the faith!!!",Pro-Roseanne
" HARRISFAULKNER No, it wasn't a joke. Neither was her screeching the anthem, grabbing her crotch and spitting. Nor... https://t.co/ts47l1DGvu",Anti-Roseanne
"RoseanneBarr",UncNeut
"I think we all knew it was only a matter of time before Roseanne said or did something to get her show cancelled.",Anti-Roseanne
" jimlibertarian therealroseanne UNBELIEVABLE THEY CAN CALL OUR PRESIDENT EVERY NAME IN THE BOOK       SUCKS",Pro-Roseanne
"BoycottABC",Pro-Roseanne
" EBoyajy therealroseanne Maybe realDonaldTrump will be impeached. All great things happen in 3's.",Anti-Roseanne
"ABC cancels 'Roseanne' following Roseanne Barr's racist tweet targeting Obama adviser - USA TODAY https://t.co/V4IRMPLUHD",UncNeut
" mskathykhang My first thought when I saw the headline 'Roseanne fired for racist tweet' was 'If only everyone (ahe... https://t.co/qVwS3kdZSu",UncNeut
" therealroseanne Oops.",UncNeut
"ABC qui se d cide enfin  flusher Roseanne Barr. Y commen ait   tre temps...",UncNeut
"WAIT ROSEANNE IS CANCELLED SKJSSKDKJ",UncNeut
" Lawrence Remind everyone that this is the same Roseanne who gave an insulting nasal rendition of the national anth... https://t.co/qiuNxsLVkR",Anti-Roseanne
"Roseanne",UncNeut
"RTGNews",UncNeut
" waltshaub therealroseanne ABCNetwork Cancelled:https://t.co/EfRU80pRQC",UncNeut
"Hypocrites",UncNeut
"Since Roseanne is out, how about a show starring John Goodman?",Anti-Roseanne
" XrayJenkins SGTWoobie gailtalk therealroseanne michelleisawolf PressSec George Soros told his traitorous stor... https://t.co/Mw67Ow8cKc",UncNeut
" KayaJones LisaMei62 therealroseanne Run for mayor, governor, senator",UncNeut
" MeSoTory PeterSweden7 therealroseanne Oh yeah but liberals can be as 'racist ' as they want and no one says anything",Pro-Roseanne
"ABC cancels 'Roseanne' after Barr's racist tweet - Fox News https://t.co/ASZK7Mef64",UncNeut
"Roseanne",UncNeut
"BREAKING: ABC cancels 'Roseanne' after star's racist tweets https://t.co/8D2EcQAY91",UncNeut
"pretty quiet now, huh? therealroseanne",Anti-Roseanne
" therealroseanne Thought you were leaving",Anti-Roseanne
" bchapman151 therealroseanne Roseanne needs to stand her ground!!! Leftists make hateful, slanderous statements to... https://t.co/NaktjobdEl",Pro-Roseanne
"I don't care about Roseanne or any other celebrities. She'll be fine. What I do care about is whether my Publix is... https://t.co/oWXsJO4VsG",UncNeut
" Julesitter therealroseanne ABCNetwork Enough w all the bullshit",UncNeut
" therealroseanne HaHaHa how could you think you can get away with a such a blatant racism statement who do you thin... https://t.co/0ABpMkwFmk",Anti-Roseanne
" THEsaragilbert I'll trade to one Rosie for one therealroseanne RoseanneOnABC Rosie would be great in place of R... https://t.co/wJocBdHY4Y",UncNeut
" THEsaragilbert Its Roseanne we are going to miss. Not all the other cast members. Too bad conservatives have to wa... https://t.co/dTY57DxTPX",Pro-Roseanne
"Unfortunately because of her racist stupidity, a lot of other people are out of a job too.       'Roseanne' canceled... https://t.co/1LjKEMwPT4",Anti-Roseanne
"BoycottABC",Pro-Roseanne
"Roseanne' Canceled by ABC Hours After Racist Tweet by Roseanne Barr https://t.co/5uBo5sWBxg",UncNeut
" oh_bhabe KayaJones ABCNetwork jimmykimmel FLOTUS therealroseanne Don't be glad, Their double standards will only make things worse.",UncNeut
"Bahahahhahahah Roseanne was canceled",Anti-Roseanne
"I bet Roseanne's 'under served' audience also have a lot of 'racially charged' tweets in their timeline.",Anti-Roseanne
"Roseanne and her family seem crazy after what I've heard them say and do over the years. She has to be stupid to ma... https://t.co/te04tMBXe1",Anti-Roseanne
"Happy to hear Roseanne was canceled! Now if we can just get the Failing realDonaldTrump Fake Presidency canceled,... https://t.co/eHj9OwOq8n",Anti-Roseanne
" woody2237 gwgillett We all know that Twitter is famous for their censorship, but they didn't censor that Tweet fr... https://t.co/GxQDIll3kz",UncNeut
" TheTweetOfGod lauferlaw realDonaldTrump therealroseanne   \u200d   Can...can I...Can I just accept the Kohl's gift car... https://t.co/nHfUYxWvGT",UncNeut
"Roseanne",UncNeut
" therealroseanne Too late girl. Your true colors have shown through once again.",Anti-Roseanne
"Hey idiot realDonaldTrump supporters, remember how super happy you were when that woman who was pictured flipping... https://t.co/ThJVRamvFQ",Anti-Roseanne
"ABC Cancels Roseanne for Tweet But Jimmy Kimmel Still Has a Show after Young Women Fondle His Crotch... https://t.co/R7Iu2ubGpj",Pro-Roseanne
" therealroseanne ~ all the wonderful people out of work ~ because of your mouth. Wow. Apologize to them as well. I... https://t.co/VXc44TbtAP",Anti-Roseanne
"with the news about roseanne lets focus on someone who has never let anyone down: mark ruffalo",UncNeut
"Roseanne' was a tasteless show pandering to retards and I'm glad she went and got herself cancelled lol",Anti-Roseanne
"Does anybody else remember when Roseanne was a racist socialist instead of a racist fascist?",Anti-Roseanne
" ClaireabellGatr yashar Roseanne Best tweet of the day",Pro-Roseanne
"MichelleWolf",UncNeut
" francismmaxwell 1. it wasn't just an eyeliner joke, don't downplay 2. Roseanne apologized, Michelle didn't",Pro-Roseanne
"Roseanne', the show, was cancelled before its second revival season because Roseanne, the awful human being, is racist.",Anti-Roseanne
" therealroseanne Apologies mean nothing without a change of heart. I doubt you have that. Think of all the people's... https://t.co/59lsySEQCv",Anti-Roseanne
"BREAKING: Months after the re-boot Roseanne cancelled after star's racist social media post. https://t.co/eV63LSRxTn",UncNeut
"I fully expect Roseanne to be resurrected on Fox",Pro-Roseanne
" FOXTV Pick up therealroseanne show... https://t.co/wFcMcSytHm",UncNeut
" therealroseanne Bye Felicia!",Anti-Roseanne
"ETTD",UncNeut
" therealroseanne Bye",Anti-Roseanne
" therealroseanne https://t.co/hatoWhhhxA",UncNeut
" therealroseanne You thought you could get by with this because your buddy trump does, he will get his just like you just did!",Anti-Roseanne
" Unpersuaded112 ABCNetwork therealroseanne me too!",UncNeut
" KTHopkins therealroseanne Katie, I don't like either one of them but that tweet was waaaay out of line",Anti-Roseanne
"Just lost another viewer ABC  I Stand with therealroseanne",Pro-Roseanne
" RealFuckSchtick Twitter therealroseanne Any account supporting Treasonous Trump remains on Twitter. Where does T... https://t.co/pJJAzvVqfo",Anti-Roseanne
"ABC",UncNeut
" patel_jesse JMunozActor therealroseanne Even though I gave away the plot twist, its worth a watch: here it is...... https://t.co/pvh0JguDDx",UncNeut
" therealroseanne Racism in any form is not a joke. Looks like you learned that lesson the hard way, huh? Oh look..... https://t.co/WzEIlP8Z6r",Anti-Roseanne
" therealroseanne And now your unemployed you racist. Don't you get it? You have a louder voice then others, what yo... https://t.co/IvE927eB0n",Anti-Roseanne
" therealroseanne dumb bitch, you look like an armadillo + a dick = Roseanne",Anti-Roseanne
"IStandWithRoseanne",Pro-Roseanne
"Roseanne Barr showed her soul. ABC showed its courage. https://t.co/xkv2layLkP",Anti-Roseanne
"Roseanne Gets All Racist on Twitter, Prompts Sitcom Cancelation -",Anti-Roseanne
" whatupJD3 therealroseanne ABC https://t.co/w3wFSrAtBU",UncNeut
" therealroseanne Hello Ms Barr. We might not agree on every thing in the world, but I would like to advise you: Do... https://t.co/Nq0ODYiCp7",UncNeut
"Hope Roseanne will enjoy the rest of her life in a place far far away. Congrats ABC for cancelling her show after racist tweet",Anti-Roseanne
" therealroseanne Quickly learning we're not taking this racist shit anymore from you, the orange man, or anyone else!!",Anti-Roseanne
" therealroseanne There is no free speech in America anymore, as you now know. LOVED the original Roseanne and LOVE... https://t.co/Fmmvg8sRUG",Pro-Roseanne
"I've never watched Roseanne but that bitch looks like she owns a few confederate flags and a MAGA fridge magnet so... https://t.co/YXKNf5YR26",Anti-Roseanne
" therealroseanne Guess you're leaving for good now!!!",Anti-Roseanne
" therealroseanne https://t.co/hLwZLfrDIl",UncNeut
" JackPosobiec Let me remind everybody that Wanda Sykes, who is a black comedian and is one of the producers of Rose... https://t.co/ciZ5DIFLPI",UncNeut
" AP SaraCarterDC only reason I held my nose and watched ABC was due to the Roseanne show. Now I can block ABC aga... https://t.co/pa73FF7oI0",Pro-Roseanne
" therealroseanne You've said Alot of thing's publicly the last yr or two that helped unite people &amp; their opinions! Thanks for that!.",Pro-Roseanne
" therealroseanne too little too late",Anti-Roseanne
" ericlowenbach realmikepacker OralRCarter Sarah_G_Barker EdKrassen therealroseanne I mean is it that hard to comprehend?",UncNeut
" therealroseanne WWG1WGA...",UncNeut
" therealroseanne weird that you would rt a pic comparing chelsea to a donkey when this is how your son looks like?!... https://t.co/bTcLAqArGY",Anti-Roseanne
" mitchellvii Bill, I've been following you for a while. As a black man, I feel like you're crossing the line. Just... https://t.co/NDIBXQS5Ti",UncNeut
" occupado333 therealroseanne GTW",UncNeut
"Let's hope! The Roseanne Reboot Has Been Cancelled After QUITE the Internet Sh*t Storm https://t.co/BDlZPYBzCH via POPSUGAREnt",Anti-Roseanne
"A s rie de maior audi ncia da TV aberta dos Estados Unidos cancelada por conta de um tweet. Ali s, que pessoa horr ... https://t.co/fAKpJDZGov",UncNeut
"I am surprised the cast allowed most of those jokes to go through and that some even said some of those lines?! I w... https://t.co/SmcT7vTDsV",Anti-Roseanne
" Milliron681 andygh26 soonerrick debralynnsmith3 therealroseanne Melania is a WAR CRIMINAL that should be spend... https://t.co/hmjq4UbExK",UncNeut
" sonofajoe marthamaccallum therealroseanne RealCandaceO she referred to an ethnic group as dub human, that's appalling.",Anti-Roseanne
"I can't believe some of y'all are shocked Roseanne is racist. I've been knowing that woman was racist since I first... https://t.co/NM0jlb5rVE",Anti-Roseanne
"Cancelled",UncNeut
" ChristineMAGAMD grizz_meister therealroseanne Hell yes they would have , late night shows. I refuse to mention... https://t.co/dls0oAWCII",UncNeut
"I honestly know very little about roseanne beyond 'racist old lady on tv' and im fine with keeping it that way",Anti-Roseanne
" ABC Kudos ABC for a gutsy and right decision. I will now follow you on Twitter. There is no room for racists and bigots like Roseanne.",Anti-Roseanne
"Roseanne Bar is a racist cunt, stan Roseanne Park, stan talent https://t.co/fOGsJaSwsm",Anti-Roseanne
"Roseanne",UncNeut
"BoycottABC",Pro-Roseanne
"Responding to the Roseanne tweet. How come nobody is held accountable for the horrible things they say about our Pr... https://t.co/djCzEAGDja",Pro-Roseanne
" RealAlexJones therealroseanne She didn't think abusive racist thoughts, she tweeted them. Have her on, it will be... https://t.co/NCxg5vFjXp",Anti-Roseanne
" AllanGolombek1 therealroseanne When does all comedians start apologizing for all racist comments and held respons... https://t.co/358hrEQ2nd",Pro-Roseanne
"ABC cancels 'Roseanne' after 'Planet of the Apes' tweet https://t.co/j3TF1CTbhU https://t.co/l612H3VW6T",UncNeut
" therealroseanne https://t.co/mSAcaizI11",UncNeut
" dabadass419 zerohedge therealroseanne Dammit!!! Now I have to be wrong.",UncNeut
" THEsaragilbert Ty Sara for speaking out against Roseanne",UncNeut
"Why I wouldn't watch her show, even though I loved the first rendition of it. https://t.co/hWj9Kw2akA via BostonGlobe",Anti-Roseanne
"This is the tweet I will retweet when realDonaldTrump posts about Roseanne's supposedly unjust cancellation. In th... https://t.co/ZMpIGvMwTd",Anti-Roseanne
" gpjonesii TheRevAl NationalAction therealroseanne Another network will pick-up the show. The media/entertainmen... https://t.co/3ya9x6zdvi",Pro-Roseanne
"WHAT DID ROSEANNE SAY NOW?!?!!!",UncNeut
" therealroseanne You're a homely-appearing, nasal-sounding, foul-tempered, portly, nasty, crude man...I mean, woman...",Anti-Roseanne
"So Roseanne got fired. They should just have done The John Goodman Show and skipped her bigoted ass.",Anti-Roseanne
" therealroseanne GO ON RealAlexJones https://t.co/B7dmYqzm9i",UncNeut
" therealroseanne Her cast mates just lost millions of dollars. This one tweet has cost her castmates so much",Anti-Roseanne
" DLion95 RealAlexJones therealroseanne Huh?",UncNeut
"Roseanne",UncNeut
"The Washington Post: ABC cancels 'Roseanne' after its star goes on a vitriolic and racist Twitter rampage ABC cance... https://t.co/VDuSuXjLEK",UncNeut
"New plot. Roseanne dies from eating tainted tRump steaks and the show continues without her. Thoughts?",Anti-Roseanne
"I knew majority of Americans were good people. They will not let the likes of Roseanne Barr rise with racism. Thank... https://t.co/RGpinmouMf",Anti-Roseanne
" vandeRooij therealroseanne yari siyah bir kadina (eski obama calisani) irkci ve islamofobik hakarette bulundu. so... https://t.co/WX5ij99pLn",UncNeut
" doremom nicwil75 DaddyFems JakeSherman therealroseanne VeeBee It takes one to know one...",UncNeut
"Well done: https://t.co/hJ5oz61ZaD Except wait, not well done because you actually gave this racist piece of shit a... https://t.co/neC6XYo8o0",Anti-Roseanne
"roseanne",UncNeut
"Roseanne' Cancelation: Julianne Moore, Don Cheadle, Mike Schur, and More React https://t.co/vl1O3E3tOa https://t.co/V6WTHbFnL9",UncNeut
" Stonekettle trump and roseanne both trash",Anti-Roseanne
"Oh my. https://t.co/oxkLXMA09h",UncNeut
"I went to HomeGoods for like 10 minutes and Roseanne got cancelled, which confirms my belief that HomeGoods truly d... https://t.co/X7UgRCZlMm",UncNeut
"GirlBye",Anti-Roseanne
" therealroseanne I'm just really old, Barr, now 65, said at the time in defense of the photos. When you're post-... https://t.co/z3aZB9O874",UncNeut
" therealroseanne So you keep saying...",UncNeut
" therealroseanne Roseanne- You are better than the dark ugly nasty ppl on Twitter, spewing hate. Rise above. Use yo... https://t.co/y10FdQcAPs",Pro-Roseanne
"Twitter",UncNeut
" TheBeatWithAri Roseanne has a HISTORY of self-sabotage... and she's said racist things. None of this is surprising!",Anti-Roseanne
"Yes the number of MAGAs excusing Roseanne's bigotry with the same exact talking point isn't lost on me",Anti-Roseanne
"Roseanne",UncNeut
"BoycottABC",Pro-Roseanne
"Alex Jones: Hi therealroseanne, it's time for you to strike back against these THOUGHT POLICE and really shake them... https://t.co/KIYLMFPtGt",Pro-Roseanne
"PickupLuficer",UncNeut
"Roseanne",UncNeut
" therealroseanne BYE, FELICIA!",Anti-Roseanne
" irritatedwoman therealroseanne TheView Lot of stupid in Mesa today, don't embarrass women by your ignorance. No... https://t.co/fsRRSbHyv6",UncNeut
" therealroseanne we know you're not genuinely doing it. This showed the real you. You've been spewing hate for a wh... https://t.co/nevKCA8Tt6",Anti-Roseanne
" notwokieleaks The only thing I know about this show is that in the original Hillary Clinton congratulated Roseanne... https://t.co/uUlAuDOcUk",UncNeut
"BoycottABC",Pro-Roseanne
"Wow therealroseanne when it comes to georgesoros this is where you shock me Roseanne. I have watched him do exact... https://t.co/XH6YBWXysW",UncNeut
" therealroseanne glad to hear your comeback was short lived. Go back to your nut farm you hateful bigot. Buh bye",Anti-Roseanne
"Roseanne has been canceled by ABC https://t.co/QZJ3UFSA2l",UncNeut
"ROSEANNE",UncNeut
"Roseanne",UncNeut
"Roseanne",UncNeut
"Roseanne",UncNeut
"I just googled racist Roseanne tweet and got flooded smh Iont know where to start.",Anti-Roseanne
" ElderLansing thegobest therealroseanne Orange is a one-of-a-kind word/color.. no English word rhymes, it is the... https://t.co/LVusgz8v2t",UncNeut
" KrangTNelson this is incredibly insensitive you know damn well that there are no lakes in roseanne's target land... https://t.co/MHNH2Ay9ic",UncNeut
"RoseanneBarr",UncNeut
"Roseanne Barr is, and always has been, painfully unfunny. And while I don't condone racism or bigotry on any front,... https://t.co/mIbU7EmwiZ",Anti-Roseanne
" JTMYVA thank you for proving that you are a racist just like Roseanne. She may be from Iran, but she is African-American.",Anti-Roseanne
" soonerrick BethB1213 therealroseanne ABCNetwork Still yawning??",UncNeut
" therealroseanne dont appologize !",Pro-Roseanne
" lascapigliata8 Roseanne is a powerful woman with powerful ideas. So she messed up a few times - she's human. I'v... https://t.co/m6NMSeoawi",Pro-Roseanne
" therealroseanne https://t.co/O7GJUhllFJ",UncNeut
"ABC cancels 'Roseanne' after show's star compared Obama adviser to 'ape' https://t.co/oSeowUvvJD Yep!",UncNeut
" ABC let me get this straight you have a problem with Roseanne's lil remark about Vj but you don't with Kathy Griff... https://t.co/98tu1xwoI6",Pro-Roseanne
" therealroseanne What myself and ABCNetwork have to say about this. Bye girl. You ruined it for everyone. https://t.co/fDezeDrPq5",Anti-Roseanne
"ROSEANNE IS CANCELLED YALL!!! I LOVE BLACK TWITTER",Anti-Roseanne
"ROSEANNE CANCELED????",UncNeut
"I support FREE SPEECH - even if I disagree with that speech, even if I am offended by that speech.  When FREE SPE... https://t.co/VWobwZF0vG",Anti-Roseanne
"ABC, I won't say it was any more than the absolute right thing to do, but it also was a corporate sacrifice, and th... https://t.co/zKaWKmXZPM",UncNeut
" realAustin_B therealroseanne I do not think you understand freedom of speech and what it means. It does not mean... https://t.co/TLObQf2xpr",UncNeut
"ABC cancella Roseanne/Pappa e Ciccia dopo un tweet razzista di Roseanne Barr https://t.co/UpomjoTwJK",UncNeut
" RoseanneOnABC ABCPolitics you are just as guilty as that pig therealroseanne for allowing her show to continue.... https://t.co/V08OSOx9Js",Anti-Roseanne
" ananavarro iamwandasykes Roseanne was just cancelled. Bravo to ABC",Anti-Roseanne
"BoycottABC",Pro-Roseanne
" therealroseanne Buhbye https://t.co/6to1ISMiRM",Anti-Roseanne
"ABC cancels 'Roseanne' after its star goes on a vitriolic and racist Twitter rampage - The Washington Post.  CONG... https://t.co/5gMYMWVQqC",UncNeut
" THEsaragilbert Sara, WhitneyCummings&amp; ABCNetwork don't give up just because of Roseanne please. Season 2 could s... https://t.co/rbPyyqiNwy",Anti-Roseanne
" RMahre Roseanne is not even that right wing. The fact she is not a leftist is enough nowadays to treat her as one... https://t.co/bYxsV5F4PM",UncNeut
" LadyBabs07 therealroseanne ABC . ABCNetwork . NBCNetwork . CBSNetwork  Time for ABC Programming  Department t... https://t.co/nIqqnXpZSh",UncNeut
"Roseanne' Canceled at ABC https://t.co/nje6LmiOjk",UncNeut
"ABC has canceled Roseanne following backlash over the star's raci ... https://t.co/nsydNxD3Sa... https://t.co/RO02fKWlxl",UncNeut
"Roseanne",UncNeut
" hredriders therealroseanne realDonaldTrump Please tell me what is conservative about calling a black woman a monkey?",Anti-Roseanne
"Dear starbucks, now that Roseanne is unemployed again please hire her so she can go through racial sensitivity tra... https://t.co/ul1ULhhG3L",Anti-Roseanne
"FoxNews",UncNeut
"Roseanne' Canceled at ABC Following Racist Tweet - The Hollywood Reporter                 https://t.co/mmsUXZm7zh",UncNeut
" andygh26 Milliron681 soonerrick debralynnsmith3 therealroseanne I bet half of you calling melania a prostitute... https://t.co/zdrxMo4Mn5",UncNeut
"Lest we forget, the entire Roseanne cast , writers and producers knew what they were getting into when they signed... https://t.co/onXlMYRzGo",Anti-Roseanne
" KevinRizzo17 total_janarchy ChelseaClinton therealroseanne OpenSociety How does that qualify as 'pathetic', ex... https://t.co/BY5koBv10Z",UncNeut
"please",UncNeut
" odetteroulette soonerrick debralynnsmith3 therealroseanne",UncNeut
"ChanningDungey",UncNeut
"Roseanne",UncNeut
" therealroseanne Dont worry about it I still love you and your show.",Pro-Roseanne
"LastManStanding",UncNeut
"How come roseanne is being punished for her comments yet donald trump is sti in the white house? Bunch of hypocrites",Pro-Roseanne
"That volcano just keeps erupting...Joke + Racism = Racism everytime therealroseanne abc you might want to head ov... https://t.co/mPhI9vChdu",Anti-Roseanne
"Roseanne",UncNeut
" therealroseanne https://t.co/eeXUBPDKxb",UncNeut
" GinaLuciana rayann2320 therealroseanne vickibazter NONE of them give a fuck about anyone including you.",UncNeut
" therealroseanne NOOOOO",UncNeut
" SeanLethcoe therealroseanne Racist",Anti-Roseanne
"Congratulations to therealroseanne, the new member of the Intellectual Dark Web !",Anti-Roseanne
" kkhhughes therealroseanne https://t.co/IUIz0Myv70",UncNeut
" therealroseanne Please don't apologize don't let these assholes bully you",Pro-Roseanne
" therealroseanne What the fuck happened to you? Just an old pathetic has been.",Anti-Roseanne
" JusTFacts12345 JimmySmagula therealroseanne ABCNetwork College.",UncNeut
" CherMarlee soonerrick smokeandonyxgal DeannaSader DarbaDee Lani6400 therealroseanne https://t.co/P15P08z6Uj",UncNeut
" RoseanneOnABC well here's the deal if Roseanne is canceled ABCNetwork won't be on in my house! She made a foul jo... https://t.co/kXmk9Tb0gz",Pro-Roseanne
" therealroseanne NOOOOOOOO... DONT APOLOGIZE!!!",Pro-Roseanne
" therealroseanne Byee!",Anti-Roseanne
" 4AllSoulKind therealroseanne Everyone should be against the monster that destroys democracies. But yet you put trump in the White House.",Anti-Roseanne
"C'mon Roseanne you can't say that lol",Anti-Roseanne
" AmoneyResists Variety Roseanne was recently spotted banging on a closed Starbucks door, begging for anti-bias training.",Anti-Roseanne
" tariqnasheed The derogatory comment made by therealroseanne in reference to 'Planet of the Apes' movie has proven... https://t.co/5YKWbGKJSU",UncNeut
" thehill ABC NEW ROSEANNE WAS RACIST BUT THEY STILL GAVE HER A PLATFORM#MEGANKELLY-TAMRONHALL+",UncNeut
"hi",UncNeut
" therealroseanne PatriotsSoapbox https://t.co/O2e13kbQ5q Please visit us, Roseanne!! We would truly appreciate it!",Pro-Roseanne
" grantevanhf TheTweetOfGod realDonaldTrump therealroseanne That is frighteningly like him. Is your name Donnie?",UncNeut
" Tutankhamun1989 Gavin_McInnes therealroseanne No, it shouldn't. But right now, that's what happens.",UncNeut
" True_Ariez85 Milliron681 andygh26 soonerrick debralynnsmith3 therealroseanne do NOT insult cats like that.",UncNeut
" THEsaragilbert It's kinda not separate and apart from one cast member. The show is called Roseanne, about a lady n... https://t.co/q4fHFKr8GT",UncNeut
" johnama75763381 therealroseanne Especially when someone is being racist.",Anti-Roseanne
" therealroseanne Now we'll boycott ABCNetwork too. This has to end. Nobody has the power to tell us how to speak!!!",Pro-Roseanne
"You simply DON'T go after Valerie Jarrett, who is OUR generation's Olivia Pope, a great Black woman we all look up... https://t.co/SHw8Qw9Bl8",Anti-Roseanne
" therealroseanne You are a racist who did a racist thing and are now being shunned by society for your racism.  Tr... https://t.co/wx4UwpYbQy",Anti-Roseanne
"hanoijane",UncNeut
"Question: If Roseanne was cancelled because she made a joke comparing Valerie Jarrett to an ape, then what happens... https://t.co/N5MckpN9pj",UncNeut
" michellevisage therealroseanne And let me add that I think the rant is disgusting. Hurting others, also disgusting.",Anti-Roseanne
" therealroseanne Lol, so much for leaving twitter. You only appoligize after being canceled.",Anti-Roseanne
"Roseanne",UncNeut
" ClayTravis KeithOlbermann realDonaldTrump espn therealroseanne He's right.",UncNeut
"BREAKING: ABC makes major announcement https://t.co/LjptC5hx4T",UncNeut
" CharlieBuscemi nytimes therealroseanne Fascist",UncNeut
"damnfools",UncNeut
"Y'all surprised the Roseanne bitch racist? Lol",Anti-Roseanne
"MRHA",UncNeut
"Via adweek   ABC Cancels Roseanne Following Roseanne Barr's Racist Tweet https://t.co/5RLgovg9Ls",UncNeut
" 1Romans58 bhine1069 VP therealroseanne Look up racism, being a racist, saying racist things. Then get back to me.",Anti-Roseanne
" holachola 1stMosesNowThis therealroseanne ChelseaClinton OpenSociety This is the difference between us. You se... https://t.co/730OPoFsnK",UncNeut
" therealroseanne Well, it's nothing new with you....You have always been in bad taste....a loud mouth who is NOT funny",Anti-Roseanne
"SBOT",UncNeut
"Breaking from CNN cnnbrk: ABCNetwork cancels Roseanne for racist tweets *turns channel* Roseanne for three strai... https://t.co/MvngFE4St9",UncNeut
" Cha1rm4nm30w Gokaiger_Ranger therealroseanne I think he meant Stefan Colbarto.",UncNeut
" DanaPerino Really? You feel bad for the little people who lost their Roseanne jobs the sparkle in your eyes over... https://t.co/LAj7QgE0vn",UncNeut
" GMA So much for Roseanne!  I never liked the show anyway!",Anti-Roseanne
"Hey therealroseanne - Now you have lot's of time on your hands to compose racist &amp; repugnant tweets  Kudos to... https://t.co/Kesh5yUJWm",Anti-Roseanne
"I'm pretty sure if therealroseanne tweeted comparing Trump to an overbaked cracker, Roseanne wouldn't have been ca... https://t.co/FnsLO0eD0m",Pro-Roseanne
"Q13FOX",UncNeut
"WTF! ABC cancela la serie 'Roseanne' tras un tuit racista de su protagonista https://t.co/61sscG8vlA v a elpais_tele",Pro-Roseanne
"looks like roseanne got freaking rose-CANNED, huh folks?!",Anti-Roseanne
"Already looking forward to ignoring the Roseanne's think pieces and me getting to cackle that her racist ass is canceled",Anti-Roseanne
